"","Quant_RNA_Seq_S1","Quant_RNA_Seq_S2","Quant_RNA_Seq_S3","Quant_RNA_Seq_S4","Quant_RNA_Seq_S5","Quant_RNA_Seq_S6","Quant_RNA_Seq_S7","Quant_RNA_Seq_S8","Quant_RNA_Seq_S9"
"ENSG00000000003.15",3499,4530,4618,3189,3512,5598,3579,2639,3155
"ENSG00000000005.6",0,0,0,0,0,0,0,0,0
"ENSG00000000419.14",6840,5878,5698,6339,11310,7155,6703,7519,9166
"ENSG00000000457.14",319,249,287,321,377,356,341,243,290
"ENSG00000000460.17",1578,972,1187,1385,2763,1504,1559,1997,2268
"ENSG00000000938.13",1,2,5,0,10,0,0,12,6
"ENSG00000000971.17",624,67,63,507,43,77,677,65,53
"ENSG00000001036.14",4000,3831,3763,3500,7336,4985,3726,5252,6002
"ENSG00000001084.13",10403,8577,8665,8627,8326,10953,9986,6327,7638
"ENSG00000001167.15",1863,1647,1789,1737,3100,2437,1923,2206,2451
"ENSG00000001460.18",389,327,240,387,517,389,350,339,525
"ENSG00000001461.17",1336,881,903,1135,1708,1239,1173,1301,1445
"ENSG00000001497.18",3619,2929,2992,3281,6168,3747,3644,4585,5364
"ENSG00000001561.7",350,464,460,312,742,590,301,540,655
"ENSG00000001617.12",1754,1020,1079,1638,1958,1557,1553,1572,1856
"ENSG00000001626.18",3,1,1,0,4,5,1,2,0
"ENSG00000001629.10",2884,2821,2798,2496,3834,3556,2272,2176,2686
"ENSG00000001630.18",2989,3335,3095,2321,3150,4325,2543,2107,2472
"ENSG00000001631.17",1344,1139,970,1011,1679,1433,1344,1133,1549
"ENSG00000002016.18",709,894,760,715,1006,1314,774,717,911
"ENSG00000002079.14",314,1096,1129,255,2917,1734,366,1624,2878
"ENSG00000002330.14",10895,10194,10614,10072,12928,13098,10855,9587,10451
"ENSG00000002549.13",3189,2407,2412,2767,5779,3162,2981,4033,4501
"ENSG00000002586.20",5610,5274,5477,4894,8110,7195,5557,5948,6992
"ENSG00000002586.20_PAR_Y",5668,5316,5534,4921,8624,7203,5552,6064,7128
"ENSG00000002587.10",990,669,556,801,1268,1093,763,728,831
"ENSG00000002726.21",0,3,1,3,8,3,2,3,10
"ENSG00000002745.13",0,0,2,1,9,2,0,7,8
"ENSG00000002746.15",17,20,28,22,98,12,12,78,148
"ENSG00000002822.16",1995,2266,3002,1919,3126,2627,2153,2630,2960
"ENSG00000002834.18",17015,16165,16718,15150,21678,21805,16775,16313,17975
"ENSG00000002919.15",953,1010,949,834,1222,1188,730,927,1072
"ENSG00000002933.9",0,0,0,0,0,0,0,0,0
"ENSG00000003056.8",15246,9951,11713,13796,18052,14587,14957,13064,15586
"ENSG00000003096.15",300,1,0,322,1,0,288,0,0
"ENSG00000003137.9",139,86,135,57,244,94,71,151,190
"ENSG00000003147.19",2480,3115,3337,1793,4193,3506,2482,2854,3580
"ENSG00000003249.15",3708,5000,5212,3138,5493,6764,3446,3912,4480
"ENSG00000003393.16",918,1250,1301,848,1507,1360,932,1074,1266
"ENSG00000003400.16",407,378,352,370,411,493,365,307,339
"ENSG00000003402.21",1186,1682,1643,1101,2406,2183,1252,1979,1897
"ENSG00000003436.16",2104,2931,2963,1698,4227,3985,1634,3118,3269
"ENSG00000003509.16",928,877,847,745,1361,968,851,1065,1072
"ENSG00000003756.17",2046,1513,1881,1811,2620,2325,1782,1499,2147
"ENSG00000003987.14",19,20,20,21,47,26,14,25,42
"ENSG00000003989.18",139,95,106,142,326,154,147,235,266
"ENSG00000004059.11",25392,23586,24877,23339,31051,30931,25890,22582,26378
"ENSG00000004139.14",165,260,261,186,304,464,204,206,224
"ENSG00000004142.12",5358,4814,4951,4822,8516,6539,5386,6909,7256
"ENSG00000004399.13",3452,3618,3400,2697,6291,4586,3027,4283,5075
"ENSG00000004455.18",11688,9644,9349,11149,22539,11847,12005,16557,19139
"ENSG00000004468.13",25,13,15,22,27,17,41,8,2
"ENSG00000004478.8",10958,7652,7939,10234,16207,9965,10908,12359,13388
"ENSG00000004487.18",6164,6170,5897,5563,9328,7858,5817,6938,7665
"ENSG00000004534.15",1621,1631,1360,1309,2134,1880,1297,1478,1845
"ENSG00000004660.15",786,512,537,700,1560,645,825,1161,1265
"ENSG00000004700.16",2938,3376,3333,2652,5151,4410,2761,3389,4256
"ENSG00000004766.17",1173,1432,1069,1132,1764,1489,1076,1225,1629
"ENSG00000004776.13",28,45,51,34,101,48,32,49,76
"ENSG00000004777.19",487,270,334,539,618,329,656,543,643
"ENSG00000004779.10",16466,14630,14644,14567,30117,18651,16928,22512,25138
"ENSG00000004799.8",113,70,105,95,46,131,121,30,34
"ENSG00000004809.14",0,0,11,0,2,3,0,0,0
"ENSG00000004838.14",92,50,56,70,46,57,156,32,54
"ENSG00000004846.17",0,0,0,0,0,0,0,0,0
"ENSG00000004848.8",1,0,1,1,0,1,4,0,2
"ENSG00000004864.14",2939,2722,2322,2736,5179,3239,3186,3507,4390
"ENSG00000004866.22",1869,1841,1838,1709,2106,2383,1636,1496,1687
"ENSG00000004897.12",3676,3299,3417,3464,5701,4225,3341,4032,5184
"ENSG00000004939.16",0,11,1,0,0,0,1,0,1
"ENSG00000004948.16",2,0,2,0,0,0,1,0,0
"ENSG00000004961.15",2725,2658,2980,2352,4098,3476,2563,3223,3667
"ENSG00000004975.12",3710,4084,4251,3191,4640,5054,3254,3324,3861
"ENSG00000005001.10",3087,2945,3137,2747,1475,4117,2871,1176,1208
"ENSG00000005007.14",4558,3971,3928,3863,6693,5355,4277,4900,5441
"ENSG00000005020.13",2490,2579,2725,2312,4489,3060,2575,2750,3172
"ENSG00000005022.6",73390,76009,76129,65220,116489,96635,74495,85818,96952
"ENSG00000005059.16",882,891,1088,818,2495,1379,909,1955,2059
"ENSG00000005073.6",77,69,67,52,113,78,75,68,99
"ENSG00000005075.16",6024,4745,5351,5966,7667,6231,6341,6056,6196
"ENSG00000005100.13",1624,1426,1493,1401,2750,2038,1530,2063,2358
"ENSG00000005102.14",45,39,31,35,40,53,67,33,16
"ENSG00000005108.17",131,40,45,60,33,42,92,39,32
"ENSG00000005156.12",1140,964,1150,1229,3033,1730,1152,2040,2627
"ENSG00000005175.10",2313,2165,2248,2166,4030,2917,2318,2643,2971
"ENSG00000005187.12",305,161,113,132,479,227,103,161,205
"ENSG00000005189.20",288,203,218,291,457,289,398,393,501
"ENSG00000005194.15",3188,3395,3426,2661,5606,3934,3476,3591,4576
